Name,Role,Stats,Awakening1,Awakening2,Awakening3,Speed,Specialty,Description
Terra,DPS,"Mag, Spi",Spirit Surge,Tenderness,Esper Mastery,32,"Counter, Trance, Fire, AoE, Burn, Poison","Can Cast Fire. Can counter with 30% with Riot Blade, a powerful Magic attack. When Trancing: Gaings 50% Mag and 15 Speed. Gains access to Flare: Single Target Magic attack, and Meltdown, powerful Aoe Magic Attack."
Gogo,DPS,"Atk, Mag, Spi",Synergy,Cleanse,Safety,38,Yes,"Mimics the last performed action of an ally, including Limit Breaks, transformations, or counters."
Balthier,Tank,Atk,Drain,Physical,Piracy,36,"Tank, AoE, Fire, Wind.","Opens with Taunt. Can use Element of Treachery (Wind), Tides of Fate (Non-Element), or Fires of War (Fire). They all are AoE physical attacks that can trigger again on a 30% Chance. His Limit Break: Strahl Support: Is a multi hit single target attack."
Lightning,DPS,"Atk, Mag, Spi",Synergy,Gospel,Ravager,48,"Fast, Target Weakness, Thunder. Healer, +3 Break","If thunder weakness, uses Thunder spell, or Spark Strike: single target phy Thunder attack. If not weak to thunder, will use Launch: Single Target physical, and Blittz: Aoe Physical attack, Her Limit Break: Army of One, is a multi hit powerful single target attack. Will Cure if low HP ally."
Umaro,Tank,"Atk, Spi",Tough,Blizzard mastery,Loyal,36,"Ice, Counter, Freeze","Can use Slam, ST physical hit. Limit break is SnowStorm. physical hit, Ice element, with 100% Chance to cause Freeze. 50% Chance to counter with a physical hit."
Jill,Support,"Mag, Spi",Tenderness,First Strike,Essence,43,"Ice, Heal, Freeze, Paralysis, Low potency","Can use Ice Age: A blizzard spell with low potency that can freeze 100% of the time, with an additional small AoE Heal. Her LB, Diamond Dust, is an Ice spell with 100% to paralyze and to Freeze, at the cost  of lower potency."
Joshua,Support,"Mag, Spi",Tenderness,First Strike ,Essence,33,"Fire, Heal, Burn","Can use Eikonic Fire, a Fire spell with 100% to Burn. His LB, Fire Surge is an AoE Fire spell with 100% to Burn, and a small heal to the party."
Rude,Tank,"Atk, Spi",Tenacity,Spirit March,Charge,34,Healer,"Opens with Taunt. Can cast Cure. Limit break is Grandspark, it's a physical single target hit that also recovers HP in AoE."
Fujin,DPS,Mag,Magical,Magic Tune,Pandemona Junction,29,"Wind, Limit Break Specialist","She will charge up for one turn, boosting her Mag stat by 30% - On the next turn, she will use her limit break Tornado, an AoE Magical Wind Attack."
Reno,DPS,"Atk, Mag",Versatility,Thunder Mastery,Professional,41,"Thunder, Paralysis","Can cast Thunder, Can use Electromagnetic Rod, physical target with thunder element with a 100% chance to paralyze. His Limit break is Reno Special, a potent physical single target hit. After using it, will act again."
Locke,DPS,"Atk, Mag, Spi",Mug,Synergy,Acceptance,49,"Steal, Secret Limit Break, Revive",Can use Steal to take one random enemy skill and use it against it. His Limit break needs the help of a Limit Break Booster character. Phoenix allows him to fully restore and revive the entire party.
Elena,Support,Atk,Charge,Chariot,Protector,36,ATB Booster,"Every turn, she will fill the ATB gauge for the entire party by a value of 200. Her Limit Break, Elena's Special, it's a 2 part physical hit."
Celes,DPS,"Mag, Spi",First Strike,Mystic,Runic Mastery,38,"Runic, Holy Target Weakness, Ice","Every turn, she will raise a Runic stance, when an enemy cast a single target magical hit, she will redirect it to herself, and block the damage, once. If a Runic is already up, and the enemy is weak to holy, it will use Holy. Otherwise, she will use Blizzard. Her LB is Ultima, powerful AoE Spell."
Rufus,DPS,Atk,Physical ,Dark Bow,Wound,54,"Fast, Summon, Delay","Rufus has access to all types of Physical attacks, from single target, to AoEs to multi-hits. He gains turns very quickly. His Limit Break summons his partner Dark Nation for a powerful physical hit that delays the target."
Rikku,DPS,"Atk, Spi",Affinity,Physical,Ingenious,55,"Reviver, Fast, AoE, Limit Break Specialist, LB Booster","If a party member is K.Od, she will revive them with a  phoenix down, if not, Rikku throws grenades, physical AoE. Her LB Mix can create a lot of different attacks, from single target, to multiple hits, and even Boosting the Limit Break of party members."
Luneth,DPS,"Atk Mag, Spi",Protector,Chariot,Healthy,40,"Job Swap, Stat Swap","Luneth will randomly choose one of this 2 available jobs, Sage or Ninja, and transform in to them. He will equalize his Atk or Mag stat, depending which one is higher."
Luneth Ninja,DPS,Atk,Protector,Chariot,Healthy,49,"Fast, Limit Break Specialist, +3 Break",Luneth will do a 10-multi hit physical attack. His Limit Break charges after only 3 turns. It will throw a powerful Fuma Shuriken.
Luneth Sage,DPS,"Mag, Spi",Protector,Chariot,Healthy,36,"Fire, Thunder, Water, Ice, Healer, Shield","Luneth will have access to Fire, Thunder, Water and Ice spells. Also Can cast Curaga in AoE. Can cast Wall, which gives x1 Shield to the entire party. His Limit Break, Ultima, it's a powerful AoE Spell"
Bartz,Support,Atk,Wind Blessing,Planet Song,Adventurer,42,"Spirit Booster, Wind, AoE, LB Specialist, Shield",Bartz will boost the spirit stat of all party members by x1.1 that also gives x1 Shield to 4 players.. Wind Slash will deal physical damage in AoE.
Edgar,DPS,"Atk, Spi",Physical,Anti Tank,Fate Coin,40,"Poison, Defense Ignore, Dot Enhancer","Edgar can use Bio Blaster to Poison all enemies and deal physical damage. Drill is a physical single target hit that ignores 50% of target's defense. His Limit Break, Royal Shock, is a powerful physical single target that increases whatever Dot the enemy has by 22%"
Sabin,Tank,"Atk, Spi",Drain,Tough,Kind Soul,45,"Thunder, Fire, Burn","Opens up with Taunt. Uses Aura Bolt, a physical thunder hit. Can use Fire Dance, an AoE Physical Hit with a 30% to Burn each enemy. His Limit Break is Suplex. he will bloody suplex the enemy."
Rosa,Healer,"Mag, Spi",Tenderness,Divine Prayer,First Strike,32,"Healer, Revive, Holy","She can cast prayer, an AoE recovery spell. Her Limit Break is slow to charge. She has 2 Limit Breaks. If any ally is K.Od, she will use Divine Resurrection will revive all party members with 1 HP. If there isn't a K.O Party member, she will use Holy Arrow, an AoE Magical Hit that also heals the party. Holy Element"
Maria,Support,Mag,Gospel,High Motion,First Strike,32,Limit Break Booster,"She can cast Aura on a random party member, completely filling their Limit Break. Her own Limit break, Ultima, is an AoE powerful Spell"
Snow,Tank,"Atk, Mag, Spi",Tough,First Strike,Sentinel,37,"Ice Target Weakness, Counter, Shield.","Will Open with Taunt. His first turn is Steelguard. Snow will use Blizzard Spells or IceStrike (Physical) if the enemy is weak to Ice. Both 30% to Freeze. Otherwise, he will use single target physical attacks. His Limit Break summons the Shiva sisters, to deal magical AoE Ice damage. 30% Chance to Freeze. 50% to Counter when hit."
Wol,Tank,Atk,Tough,Protector,Shield Mastery,34,"Holy, Counter, Shield","Will open with Taunt. Wol (Warrior of Light) can use Light Wave, a physical holy element attack. His Limit Break Soul of Light, is a holy 7 multi-hits physical attack that also gives x1 Shield to the entire party. 50% to counter."
Garland,DPS,Atk,Darkness,Power Soul,Break Mastery,35,"Dark, Counter, +3 Break","Can use Dark Wave, a physical Dark element attack. His Limit Break Soul of Chaos, is a Dark 7 AoE physical attack. 50% to Counter"
Noctis,DPS,Atk,Physical,Break Action,True King,44,"Fast, +3 Break","Fast ATB. Can use Warp Strike, a physical single target. His Limit Break, Armiger, is a 13 multi hit single target attack, one for each royal weapon."
Jecht,DPS,"Atk, Spi",First Strike,Fire Mastery,The Best,40,"Fire, Burn, Transformation","Jecht can use Jecht Beam, physical single target with 30% to Burn. Jecht Bomber is an AoE Fire physical hit with also 30% to Burn. His Limit break transforms him on to his Final Aeon Form, boosting his Atk by x1.5"
Braska,DPS,"Mag, Spi",Magical,Manaburn,Sacrifice,36,"Summon, Revives, Holy, Heals","Can Summon Jecht on his Final Aeon form, to cause Magical hits, single and AoE targets. He has 2 Limit Breaks. If any ally is K.Od, he will revive all party members with 1 HP. If there isn't a K.O Party member, he will use Holy Arrow, an AoE Magical Hit that also heals the party. Holy Element"
Blank,DPS,Atk,Mug,Synergy,High Tide,49,"Steal, Late Game, Limit Break Specialist.","Can Steal an enemy attack and use it against it.His Limit Break: Thievery, is a single target physical attack that gains potency the further the party is on to the NG+ stages. When he uses Thievery, he drops whatever he stole, and will attempt to steal a different attack."
Wakka,DPS,Atk,Physical,Sleep Mastery,Bird Killer,32,"Bird Killer, Sleep","Deals extra damage to flying enemies. Can throw his blitzball for a physical single target hit. Can use Sleep Attack, physical hit that deals extra damage to birds, and have a 70% to cause Sleep. His Limit Break, Auroch Reels, is an AoE physical attack."
Ramza,Support,Mag,Ogre,Vagrant,Unsung Hero,35,"Speed Booster, AoE","Can use Tailwind, increases the speed by 10 on a every party member. (Up to 80 speed base) His Limit Break, Ultima, is a powerful AoE Spell."
Agrias,DPS,"Atk, Spi",Physical,Hot And Cold,True Knight,41,"Thunder, Ice, Freeze, AoE","Can use Hallowed Bolt, an AoE physical Thunder attack. Her Limit Judgement Blade, is an AoE Ice physical attack with 100% to Freeze the enemies."
Edge,DPS,Atk,Rage,Evasion,Momentum,49,"Fast, Haste, Limit Break Specialist","I will haste himself at the start. If he is already hasted, will cast it on someone else. Limit Break charges after 1 turn. Ninja Spirit, is a multi hit physical attack."
Lenna,Support,Mag,Magical,Manaburn,Elemental,30,"Water, Defense Down, AoE","Can use Water Curse, a Water spell that reduces the defense of the enemy by 20%.Her Limit Break Aqualung is an Aoe Water spell. that allows her to act again."
Vaan,DPS,"Atk, Spi",Physical,Inner Release,Thievery,36,"Chain Attacks, Fire, Burn, Wind Late Game","Vaan can use Red Spiral (Physical ST) White Whorl (Wind AoE) and Pyroclasm (Fire ST, 30% to Burn) After every turn, he has a 30% to chain in to another one of his moves, potentially infinitely. His Limit Break Traveler, deals more damage the further on the stages the party is."
Genesis,DPS,Atk,Physical,Delay,Degradation,39,Multi,"Genesis performs 10 hit physical attacks. His limit Break Apocalypse, is a strong physical AoE that delays all enemies."
Ace,DPS,Atk,Physical,Holy Mastery,Wound,44,Holy,"Ace throws a card being a single target physical attack. His Limit Break, Light Wave, is a powerful single target holy element physical attack."
Paine,DPS,"Atk, Mag, Spi",Physical,Lionheart,Guardian,36,"Fire, Burn, Delay","Paine has access to physicals and Fire Magic. Her Limit Break, Demon Fang, is a powerful AoE physical hit that also delays all enemies."
Queen,DPS,"Atk, Mag, Spi",First Strike,Synergy,Affinity,41,"Ice, Healer, Freeze, Dot Specialist",Blizzard riposte is a physical single target Ice attack with 100% to freeze. Blizzard ROK is a Magic AoE Ice Attack with also 100% to cause Freeze. Her Limit Break Divine Judgement is an AoE Magic Ice attack that has 100% to freeze and heal allies.
Cor,DPS,Atk,First Strike,Physical,Inmortal,40,"Follow up, ATB Booster","Cor will use Moonlight Dawn on the fastest ally, giving it also +10 Speed. Every time that ally acts, he will perform a follow up physical multi hit and boosting their ATB by one fifth. His Limit break Lion Roar is a potent AoE Physical attack that refills the ATB of up to 2 random allies"
Minwu,Healer,"Atk, Spi",Tenacity,High Motion,Spirit March,36,"Revive, Holy","Minwu will always revive a KO ally. if there is none, he will cast Cure on the most hurt ally. His Limit Break Soul of Convergence is a Holy physical Beam that refunds 80% of his ATB"
Kain,DPS,Atk,Physical,Jump Mastery,Break Action,44,"Jump, multi hit, +3 Break","Kain will jump in the air, allowing him to avoid direct damage. His Limit Break Rising Drive is a multi hit high potency physical attack on a single target."
Guy,Tank,Atk,Tough,Physical,Honor,30,"Status Effects, Earth","Opens with Taunt. Has access to Sleep Axe and Petrify Axe, both having 70% to activating the status effect. Very Slow character. His Limit Break Gaiga Rumble is a strong Physical AoE with Earth elemental damage."
Rydia,DPS,"Mag, Spi",Magical,Elemental,Summon Wisdom,41,"Summon, Fire, Ice, Thunder, Earth, Holy, +3 Break","She has access to Ifrit, Shiva, Ramuh and Titan. Her Limit Break, Mist, is a powerful AoE Magic Holy Attack. All her summons use MAG to deal damage. Ifrit and Shiva can cause Dots with 30%"
Faris,Support,Atk,Tempo,Mug,Ancient Lineage,42,"Steal, Fast, ATB Booster",Will steal enemy attacks and use them against them. Her Limit Break Fire Blessing fully refills the ATB of the entire Team. Fast Character
Cyan,Tank,Atk,Physical,Tower,Dome Protector,37,Counter,"Will open with Taunt. Fang is a strong potency single target attack. When he gets attacked, he will respond with Sky on a 70%, also a strong single physical target, makes him lose his turn. His Limit Break, Tempest, is a very high potency multi hit physical attack."
Yuna X2,DPS,"Atk, Mag",Versatility,Keen Eye,Chariot,45,"Stat Selector, multi hit, Fast, +3 Break","Yuna has 2 types of shoots. Power Shot and Magic Shot. She will use one or the other based on whatever stat is higher. Her Limit Break, Trigger Happy, is a very long multi hit string that also uses atk or mag depending on which stat is higher."
Kefka,DPS,"Mag, Spi",Jester Madness,Corruption,Hades,45,"Fire, Ice, Poison, Status Conditions, Dot Enhancer","Kefka has access to Fire, Blizzard, Bio, all being magic attacks. His Limit Break Forsaken is a strong non-elemental AoE Spell that causes a random Dot to apply with 100% Chance. Additionally, increases the Dots a random enemy accumulated by 12%"
Ashe,Support,Mag,Magical,Rampant,Mist Charge,41,"Holy, Thunder, Support, Stat Booster",Northswain Glow is a holy single target Magic attack. Her Limit Break Maelstrom Bolt is an AoE Thunder Spell that also powers up 30% of Atk and Mag of the entire party. Stackable 
Sazh,Support,Atk,Physical,First Strike,Synergist,41,"Haste, Aoe, Fire Enchant","If enemy is weak to fire, will use Enfire, a spell that will make every physical attack from the party to be Fire element (if not elemental), otherwise, will use Blitz, an Aoe physical hit that deals extra damage if only one enemy is present. His Limit Break Hastega+ is a long duration Haste effect on all allies. "
Thancred,Tank,Atk,Rampant,Fury,Physical,32,"Chain Attacks, Counter","Opens with Taunt. Can use Gnashin Fang, which may continue with 60% on to the rest of his combo. His LB, Bloodlust, gives him 4 to 5 bullets, which he can incorporate on his Gnashing Fang Combo as continuations between attacks. Refills 50% ATB and 20% Atk Up. Can Counter 60% with Burst Strike"
Alisaie,DPS,"Atk, Mag, Spi",Versatility,Auto Haste,Crystal Bless,32,"200 IQ, Chain Attacks, Status Conditions, Multielement","Verfire and Verstone has 50% to proc Accelerate, which enables a follow up Verthunder and Veraero respectively. These 2 has 20% to give Dual Cast, which is another follow up to the other element they didn't use before. Her Limit Break Riposte forces Accelerate for another chain."
Gladio,Tank,Atk,Tough,Temperance,True Knight,37,"Counter, Delay, Aoe",Opens up with Taunt. Perform Single target physical hits. His Limit Break Maelstrom is a powerful Aoe physical hit that delay all enemies. He can counter on an 80% chance.
Clive,DPS,"Atk, Spi",Physical,Sacrifice,Branded,40,"Fire, Earth, Aoe","Ignition covers him on Fire to deal physical Fire single target damage with 30% to Burn. Raging fist is an Earth physical single target attack. His Limit Break, Zantetsuken is an AoE Slash physical attack to all enemies."
Delita,Support,"Atk, Mag",Physical,Anti Tank,Twisted Hero,40,"Defense Down, Holy","Unyielding Blade breaks the armor of the enemy, lowering their defense by 30%. His Limit Break Northswain Strike is a Magical Holy single attack."
Orlandeau,DPS,"Atk, Spi",Physical,First Strike,Wound,36,"Haste, Thunder, Ice, Stats Down, Freeze","Opens up with Hastega. Has access to Hallowed Bolt (Thunder AoE), Unyielding Blade (Def down 30%) and Crushing Blade (Atk and Mag 20% Down) His Limit Break Judgement Blade, is an AoE Ice Attack with 100% to Freeze."
Emperor,DPS,"Mag, Spi",Tenderless,Hades,Smirk,43,"Burn, Poison, Sleep","Has access to Red Soul, 100% Burn Spell, Dreary Cell, 100% to Poison. His Limit Break Starfall is an AoE Meteor from the sky that will Sleep enemies with 100% chance."
Gilgamesh,DPS,"Atk, Mag, Spi",Synergy,Charge,Darkness,44,Season 2 Master,Has access to all the attacks and limit breaks from all characters of Season 2
Matoya,Support,Mag,First Strike,High Motion,Magical,38,"Magic Up, Thunder, Thunder Enchant","If enemy is weak to thunder, will use Enthunder, a spell that will make every physical attack from the party to be Thunder element (if not elemental). Otherwise, she will cast Charge, a self Mag 30% up. Her Limit Break, Thundaja, is a powerful AoE Thunder spell"
